Experiment,Model,RMSE (Train),RMSE (Test),R2 (Train),R2 (Test),Overfitting
12,Random Forest,63.27294067692054,168.78510933584278,0.8976034588044658,0.20743745762285848,2.667571753898407
12,XGBoost,46.241931687840484,178.35800635223865,0.95243105379765,0.11498526227814909,3.8570621910057157
12,LightGBM,167.62253980390022,181.49099576260662,0.3749475979174184,0.08362031845689355,1.0827362237496876
13,Linear Regression,5.01998411385691e-13,167.96009346498232,1.0,0.06330175614767997,334582918303175.1
13,Ridge,0.00012111726795746522,167.9600647869142,0.9999999999996579,0.06330207601763482,1386755.7254172836
13,Lasso,22.005568261204235,54.48532823860479,0.9887071873699715,0.9014295739077917,2.4759791518159653
13,Random Forest,69.34661391836988,166.06028184562112,0.8878530501137589,0.0843720692837181,2.3946415327660553
13,XGBoost,14.109908767116087,166.65070080801507,0.9954221093394071,0.07784955671086569,11.810898536523753
13,LightGBM,122.75803870326398,151.2367779248411,0.6534891111273253,0.2405445148129287,1.231990829459382
14,Linear Regression,3.344129161406015e-13,192.06674365958318,1.0,0.036579329055904664,574340087925402.1
14,Ridge,0.00012568547742059847,192.0666737623581,0.9999999999996008,0.03658003027484502,1528153.2735848166
14,Lasso,19.05526154036725,51.22821284242656,0.9908228431451097,0.93146222142835,2.6884025041536765
14,Random Forest,62.08232946348403,186.58284819200944,0.902587579427985,0.09080916297605313,3.0054099097836673
14,XGBoost,3.7520298971352495,169.02363475870774,0.99958200959631,0.253883770199929,45.04858420444909
14,LightGBM,82.04168164343662,186.98701069510872,0.8001506048926186,0.0868660478201656,2.2791708671669797
15,Linear Regression,4.35138586381182e-13,158.51512732681857,1.0,-0.09077386402772403,364286533734241.4
15,Ridge,0.00012631577677061636,158.51507121147645,0.9999999999996443,-0.09077309174638071,1254911.1066255209
15,Lasso,16.050969144418325,38.24097077738884,0.9942563179295533,0.9365179251456771,2.3824711413570325
15,Random Forest,62.245485927964715,154.6429129098635,0.913621910128559,-0.038133818081925286,2.4844036576215056
15,XGBoost,42.79792067025736,134.13305884786186,0.9570608014539067,0.21897496905095548,3.1341022355106687
15,LightGBM,105.67995560992645,130.61521885544047,0.7381854129449259,0.2594048554375509,1.2359507354218824
16,Linear Regression,4.4098212828654394e-13,162.51137581966663,1.0,0.19515131193732027,368521455622503.25
16,Ridge,9.747168924250593,163.48738000455572,0.9978675658941235,0.18545482696380822,16.772806675978007
16,Lasso,5.008455936680401,36.16869967212756,0.9994369767243945,0.9601330972117008,7.221526979450703
16,Random Forest,64.8858644755209,165.7805557073495,0.9055028251435725,0.162443933650128,2.554956415351336
16,XGBoost,28.011219950905556,148.6528332205989,0.9845674462489776,0.3265690248870653,5.306903215252258
16,LightGBM,74.03286888202632,126.99980860417601,0.8921989702644505,0.5084668201213492,1.7154516706161171
17,Linear Regression,4.1406716941386894e-13,166.6385477631104,1.0,0.5107188037985533,402443275082627.06
17,Ridge,19.253585853932265,176.29144391503553,0.9898090430464678,0.45239166348926396,9.156291469676054
17,Lasso,17.59191735098812,48.93917730316586,0.9914921844192445,0.9577991780443129,2.7819126435594015
17,Random Forest,67.52428134386629,215.31832764302735,0.8746536601851265,0.1830987185706907,3.1887540801289287
17,XGBoost,169.32386787498046,253.160577247872,0.2003462896525804,-0.12927505717693277,1.4951263541581272
17,LightGBM,182.88979065090479,231.03128127835737,0.06707974739160627,0.05952088742211459,1.2632267796694228
18,Linear Regression,3.562412670582245e-13,174.13525659497662,1.0,0.3306147053360584,488812702786945.1
18,Ridge,9.358251831096331e-05,174.13526911536638,0.9999999999997033,0.33061460907795115,1860767.077636617
18,Lasso,28.002767485162124,39.79361450185775,0.9734416964821606,0.965043372730851,1.4210600621150486
18,Random Forest,60.94231239199808,199.31087855116607,0.8742128494254935,0.12307035074119199,3.2704843437699327
