Experiment,Model,Train Time (s),Inference Time (s),RMSE,MAE,R2 Score
9,LightGBM,0.014303445816040039,0.0027463436126708984,10.370763945086669,8.147628305483803,-0.05575784406148987
10,Linear Regression,0.0006616115570068359,0.00014257431030273438,10.435924102088817,8.21026571179915,0.09866185504896252
10,Ridge,0.40666627883911133,0.00013756752014160156,10.693568036437659,8.453339032261617,0.05360769389390929
10,Lasso,0.02702951431274414,0.00013446807861328125,11.02844255480547,8.720881279811367,-0.0065939083794068765
10,Random Forest,0.13436174392700195,0.0541377067565918,16.191516330818057,13.397405981444335,-1.1697064074852075
10,XGBoost,0.04435372352600098,0.0032701492309570312,10.52474620432946,8.311875992058152,0.08325364671558233
10,LightGBM,0.010707616806030273,0.0026612281799316406,10.700455293097965,8.404135810693667,0.05238824203559167
11,Linear Regression,0.0012226104736328125,0.00036025047302246094,9.858214031586485,7.667741909972902,-0.027642634591072968
11,Ridge,0.39816713333129883,0.0001239776611328125,9.858211476295766,7.667739794883159,-0.027642101852518808
11,Lasso,0.026607990264892578,0.0001513957977294922,9.85806063763783,7.66761493359888,-0.02761065457225298
11,Random Forest,0.14666366577148438,0.09359240531921387,10.57930603604344,8.727628329703043,-0.18347745492987855
11,XGBoost,0.05068254470825195,0.003323078155517578,9.314895121318246,7.309696626598667,0.08250951932984973
11,LightGBM,0.012418508529663086,0.002804279327392578,9.389372174850779,7.301784576971599,0.06777931351300648
12,Linear Regression,0.0013799667358398438,0.00032138824462890625,11.336565572218584,9.033957844242506,-0.002868117885892474
12,Ridge,0.3903639316558838,0.00012636184692382812,11.271681866635891,8.963703813410117,0.008578662714861296
12,Lasso,0.026586532592773438,0.0001461505889892578,11.274947272699187,8.967414962438577,0.008004150016446276
12,Random Forest,0.14325857162475586,0.08234357833862305,11.312527642308726,9.051035071053128,0.001380314392367188
12,XGBoost,0.06555867195129395,0.0027196407318115234,12.63012799059508,10.184687497992007,-0.24479065520097754
12,LightGBM,0.011937141418457031,0.0018281936645507812,11.436477763936951,9.042942767662563,-0.020623105541045295
13,Linear Regression,0.0015027523040771484,0.00034499168395996094,9.778210321697713,7.939107015827523,0.05626616630633574
13,Ridge,0.42390966415405273,0.00013065338134765625,10.122321751191928,8.224947552795665,-0.011325719333312279
13,Lasso,0.027661561965942383,0.0001709461212158203,10.126049348200263,8.228098864854397,-0.012070708268725028
13,Random Forest,0.13286542892456055,0.06778931617736816,11.796071588899407,9.592947408941102,-0.3734269832414927
13,XGBoost,0.1361844539642334,0.0026116371154785156,10.194700319208017,8.318067829392183,-0.02584017707589137
13,LightGBM,0.011713743209838867,0.0015959739685058594,11.541491829547368,9.361539140317804,-0.314784796148319
14,Linear Regression,0.0014369487762451172,0.0003428459167480469,10.71774897549639,8.446419676690377,0.03777631286553529
14,Ridge,0.4115018844604492,0.00016427040100097656,10.74705061614518,8.469237172483886,0.032507804698893694
14,Lasso,0.026100873947143555,0.000133514404296875,10.71781584319957,8.446469823399926,0.03776430626064742
14,Random Forest,0.15641450881958008,0.08939027786254883,13.731022738321036,11.125091462405745,-0.5793364340603018
14,XGBoost,0.0664665699005127,0.002070188522338867,12.5671097469555,10.15825480678687,-0.3229386270405492
14,LightGBM,0.013820648193359375,0.0018086433410644531,12.660254764259607,10.287243983187,-0.34262203944084013
15,Linear Regression,0.0013027191162109375,0.00031447410583496094,9.539406618900156,7.574486302721078,0.0867986889316561
15,Ridge,0.4186079502105713,0.00013566017150878906,9.54048890983912,7.5841030923038275,0.08659146313441823
15,Lasso,0.027771949768066406,0.0001342296600341797,9.539398159471276,7.57449230039784,0.08680030856239995
15,Random Forest,0.13582777976989746,0.06812095642089844,13.420477793262753,10.859475385417577,-0.8074228137677015
15,XGBoost,0.06761980056762695,0.0020017623901367188,9.950475150908463,7.936511995614731,0.006400319497832707
15,LightGBM,0.010944128036499023,0.001878976821899414,11.370258598360714,8.998914462865894,-0.29737190369226796
16,Linear Regression,0.0006914138793945312,0.0001633167266845703,10.96989075610733,8.892909914436885,0.06538741583326901
16,Ridge,0.40512990951538086,0.00017786026000976562,10.971881997695624,8.893448191995663,0.06504808549812657
16,Lasso,0.028060197830200195,0.00013589859008789062,10.969894222107122,8.89291164858943,0.06538682524078199
