Experiment,Model,Train Time (s),Inference Time (s),RMSE,MAE,R2 Score,SHAP Time (s)
4,Ridge,1.500288486480713,0.00021123886108398438,5.565777563636499,4.450152795091555,0.3573377385251336,0.0011146068572998047
4,Lasso,0.11660408973693848,0.00030684471130371094,5.564360092733165,4.44982547451298,0.3576650383665756,0.0010437965393066406
4,Random Forest,1.3302431106567383,0.059877634048461914,5.256234728482703,4.19423791409359,0.4268337508233039,76.43879127502441
4,XGBoost,4.117915391921997,0.016954660415649414,5.108821949203099,4.073017300922836,0.4585321931962336,3.5596442222595215
4,LightGBM,0.18580865859985352,0.00760197639465332,5.118710982716389,4.085650909374912,0.45643394991237374,7.595244884490967
5,Linear Regression,0.004037618637084961,0.02330470085144043,5.621886113735281,4.4676435778991745,0.37377524976347687,0.0021331310272216797
5,Ridge,1.6049473285675049,0.00021505355834960938,5.622610677692976,4.468268440548352,0.3736138202667305,0.001195669174194336
5,Lasso,0.11787629127502441,0.0003161430358886719,5.623200736533927,4.468898258147597,0.3734823425179504,0.0010929107666015625
5,Random Forest,1.3437774181365967,0.06007814407348633,5.270171365522514,4.184544433499199,0.44967959621272213,78.2931706905365
5,XGBoost,2.880176305770874,0.015377283096313477,5.168697221922576,4.12424841818548,0.4706677852030169,3.221527576446533
5,LightGBM,0.09688138961791992,0.006084918975830078,5.176779447253268,4.128747769454294,0.46901107097883044,3.695655107498169
6,Linear Regression,0.0022406578063964844,0.005757331848144531,5.6010637615955865,4.489241713207767,0.3596854344186272,0.0019159317016601562
6,Ridge,0.9440193176269531,0.00013065338134765625,5.601121741319952,4.489427487362691,0.3596721778460361,0.000797271728515625
6,Lasso,0.05686354637145996,0.00015354156494140625,5.600107925846835,4.48920129888508,0.3599039583832051,0.0008399486541748047
6,Random Forest,1.3461761474609375,0.06012606620788574,5.390371268562735,4.299832740028889,0.4069521915070874,82.51002097129822
6,XGBoost,2.352151870727539,0.011182069778442383,5.238406005772888,4.165367301675004,0.439919233382009,2.9205307960510254
6,LightGBM,0.11297369003295898,0.006945371627807617,5.235561037861985,4.170342098244727,0.44052742568989434,3.449761390686035
7,Linear Regression,0.004944324493408203,0.012075662612915039,5.625899458179171,4.494782202877146,0.371163661898666,0.0010592937469482422
7,Ridge,0.9234945774078369,0.00012564659118652344,5.626273227312638,4.495115580817388,0.37108010284375503,0.0007712841033935547
7,Lasso,0.05687355995178223,0.0022344589233398438,5.631804583404292,4.501446822900513,0.369842875354249,0.0007975101470947266
7,Random Forest,1.2772798538208008,0.05919241905212402,5.276124688281029,4.249524572923157,0.4469252929901366,75.48475813865662
7,XGBoost,2.5575954914093018,0.01205754280090332,5.175503121753764,4.149405746052442,0.4678196353817785,3.073701858520508
7,LightGBM,0.10505056381225586,0.00746464729309082,5.184908400953192,4.161060391083922,0.4658836485656169,6.8170006275177
8,Linear Regression,0.005234479904174805,0.02646946907043457,5.526814685386572,4.392382538447617,0.3641340222595786,0.0011718273162841797
8,Ridge,0.9331748485565186,0.00014734268188476562,5.526948433728885,4.39240017504125,0.3641032461057362,0.0009031295776367188
8,Lasso,0.056536197662353516,0.00015783309936523438,5.530572744772487,4.395991991038139,0.3632689907086124,0.0007789134979248047
8,Random Forest,1.2920012474060059,0.06061053276062012,5.2823804332237305,4.252732149382886,0.4191351003068021,77.96683549880981
8,XGBoost,2.7505438327789307,0.012217521667480469,5.102846361234374,4.097145374004531,0.45794822871556695,3.361196279525757
8,LightGBM,0.12526702880859375,0.007741451263427734,5.10201250618235,4.095602076808368,0.45812536737346155,4.417467832565308
9,Linear Regression,0.006211280822753906,0.025953292846679688,5.4584033338918,4.330069277360626,0.39759285413305334,0.0014684200286865234
9,Ridge,1.5278105735778809,0.0002048015594482422,5.4586165650825125,4.330186247829136,0.3975457874382262,0.0011990070343017578
9,Lasso,0.11917233467102051,0.001237630844116211,5.458989975150097,4.331179243938416,0.39746335990000226,0.0011484622955322266
9,Random Forest,1.3228981494903564,0.0719151496887207,5.114969824910687,4.052095552875406,0.4710129749463555,76.35646414756775
9,XGBoost,5.373971462249756,0.011500835418701172,5.060216932996904,4.013981748194354,0.4822773815743556,3.324718713760376
9,LightGBM,0.12851524353027344,0.007596731185913086,5.054094642269658,4.005152798228015,0.4835293954582721,4.822384834289551
